RunNumber,BeamEnergy,Threshold,GearGeoFile
1200,4.8,165,alignedGear-check-iter17-sync001171.xml
1201,4.8,165,alignedGear-check-iter17-sync001171.xml
1202,4.8,180,alignedGear-check-iter17-sync001171.xml
1203,4.8,180,alignedGear-check-iter17-sync001171.xml
1204,4.8,180,alignedGear-check-iter17-sync001171.xml
1205,4.8,180,alignedGear-check-iter17-sync001171.xml
1206,4.8,180,alignedGear-check-iter17-sync001171.xml
1207,4.8,195,alignedGear-check-iter17-sync001171.xml
1208,4.8,195,alignedGear-check-iter17-sync001171.xml
1209,4.8,195,alignedGear-check-iter17-sync001171.xml
1210,4.8,195,alignedGear-check-iter17-sync001171.xml
1211,4.8,195,alignedGear-check-iter17-sync001171.xml
1212,4.8,210,alignedGear-check-iter17-sync001171.xml
1213,4.8,210,alignedGear-check-iter17-sync001171.xml
1214,4.8,210,alignedGear-check-iter17-sync001171.xml
1215,4.8,210,alignedGear-check-iter17-sync001171.xml
1216,4.8,210,alignedGear-check-iter17-sync001171.xml
1217,4.8,225,alignedGear-check-iter17-sync001171.xml
1218,4.8,225,alignedGear-check-iter17-sync001171.xml
1219,4.8,225,alignedGear-check-iter17-sync001171.xml
1220,4.8,225,alignedGear-check-iter17-sync001171.xml
1221,4.8,225,alignedGear-check-iter17-sync001171.xml
1222,4.8,0,alignedGear-check-iter17-sync001171.xml
1223,4.8,2,alignedGear-check-iter17-sync001171.xml
1224,4.8,4,alignedGear-check-iter17-sync001171.xml
1225,4.8,6,alignedGear-check-iter17-sync001171.xml
1226,4.8,8,alignedGear-check-iter17-sync001171.xml
1227,4.8,10,alignedGear-check-iter17-sync001171.xml
1228,4.8,12,alignedGear-check-iter17-sync001171.xml
1229,4.8,14,alignedGear-check-iter17-sync001171.xml
1230,4.8,16,alignedGear-check-iter17-sync001171.xml
1231,4.8,18,alignedGear-check-iter17-sync001171.xml
1232,4.8,20,alignedGear-check-iter17-sync001171.xml
1233,4.8,22,alignedGear-check-iter17-sync001171.xml
1234,4.8,24,alignedGear-check-iter17-sync001171.xml
1235,4.8,26,alignedGear-check-iter17-sync001171.xml
1236,4.8,28,alignedGear-check-iter17-sync001171.xml
1237,4.8,30,alignedGear-check-iter17-sync001171.xml
1238,4.8,32,alignedGear-check-iter17-sync001171.xml
1239,4.8,34,alignedGear-check-iter17-sync001171.xml
1240,4.8,36,alignedGear-check-iter17-sync001171.xml
1241,4.8,38,alignedGear-check-iter17-sync001171.xml
